departure_delay,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x
-8,49,0,29.59,10,8
17,58,0,29.65,10,3
44,51,0,29.98,10,6
24,48,0,29.98,10,0
-9,43,0,30.18,10,5
100,49,0,29.59,10,8
-9,78,0,30.03,10,7
-5,78,0,30.03,10,7
10,63,0,27.61,10,14
75,40,0.02,29.18,6,13
-15,47,0,29.69,10,7
-1,63,0,27.61,10,14
-12,74,0,28.66,10,5
-5,43,0,30.17,10,3
-2,63,0,27.59,10,11
-7,54,0,29.96,10,3
-24,46,0,26.92,7,9
-10,77,,29.84,10,9
-9,35,0,29.7,10,5
-7,63,0,27.59,10,11
-7,72,0,30.01,10,5
-1,28,0,28.9,10,6
-5,72,0,30.01,10,5
10,43,0.19,29.62,8,16
-12,42,0,29.43,10,14
3,72,0,30.01,10,5
-5,41,0,28.48,10,6
-10,63,0,27.59,10,11
-7,52,0,29.59,10,9
17,77,0,30.02,10,7
322,74,0,28.66,10,5
3,49,0,29.59,10,8
-1,58,0,29.65,10,3
166,78,0,30.03,10,7
-8,38,0,29.13,2,8
-1,59,0,29.02,10,7
-4,36,0,25.75,10,6
5,63,0,27.59,10,11
0,76,0,29.32,8,10
-2,64,0,28.67,10,3
-1,49,0,24.68,10,5
-3,63,0,27.61,10,14
-8,40,0,28.66,10,0
-5,42,0,30.17,10,3
-3,59,0,29.18,10,7
-1,58,0,29.65,10,3
-5,54,0,29.96,10,3
0,58,0,28.49,2.5,8
49,72,0,30.02,10,6
0,69,0,27.97,6,3
-3,46,0,29.32,8,9
33,43,0,29.6,10,0
-9,73,0.06,28.78,8,7
-9,39,0,28.76,10,3
-3,36,0,25.75,10,6
29,36,0,24.42,0.75,6
15,73,,29.84,10,7
-1,75,0,29,9,14
-6,76,0,29.32,8,10
-9,34,0.01,28.67,10,5
3,35,0,25.74,8,7
-2,76,0,29.32,8,10
-5,40,0,27.51,10,11
0,64,0,29.74,10,6
-10,54,0,26.53,10,9
24,48,0,29.05,1.75,10
-4,51,0,29.22,9,6
-3,75,0,29.56,10,10
-8,36,0,27.38,10,5
11,71,0,27.87,7,3
-3,34,0.01,28.56,8,14
-4,48,0.07,29.01,6,6
-4,76,0,29.82,10,11
14,73,,29.84,10,7
-9,38,0,29.23,10,6
-9,47,0,29.26,8,8
-8,48,0.02,29.03,5,14
1,56,0,28.85,7,3
-2,45,0.33,29.07,2,16
-3,62,0.04,29.07,10,18
-5,42,0.06,28.94,5,7
3,51,0,29.98,10,6
-7,53,0,26.16,0.25,10
-10,71,0,29.68,10,11
63,73,0,29.32,5,17
8,58,0,29.65,10,3
1,66,0,29.14,10,3
1,53,0,28.82,0.25,3
-9,72,0,30.02,10,6
-1,38,0.01,28.66,5,11
-3,44,0.02,29.36,6,6
7,46,0.02,29.05,7,10
-5,66,0,29.43,9,5
1,38,0.02,28.53,10,13
-1,66,0,26.91,3,5
-2,36,0,24.42,0.75,6
-12,51,0,29.22,9,6
-1,43,0,29.12,0.25,6
-4,46,0,29.32,8,9
-8,48,0.04,28.98,6,7
-2,42,0.01,29.32,4,13
-5,75,0,29.88,9,10
-6,37,0,28.33,10,7
-4,59,0,29.66,10,6
2,66,0,30.2,8,0
-1,71,0,29.5,10,9
-8,69,0,29.06,10,17
-9,69,0,29.85,5,0
-2,48,0.04,29.2,10,7
-2,69,0,29.06,10,17
-8,49,0,28.58,6,10
-6,44,0,29.99,10,5
-6,44,0.09,29.32,6,7
-10,48,0,29.05,1.75,10
-3,65,0,29.79,10,8
-4,54,0,30.36,10,11
-1,53,0,29.97,10,7
-3,64,0,29.74,10,6
-7,64,0,30.16,8,0
-6,44,0.09,29.32,6,7
-5,44,0.08,29.93,10,5
-9,78,0,30.02,10,7
-8,34,0,26.87,10,3
-4,77,0,29.78,9,17
18,36,0,24.44,10,7
-10,49,0,26.95,10,10
3,63,0,27.59,10,11
-1,75,0,29.89,8,10
-5,66,0,30,9,5
1,43,0,30.22,10,9
-3,63,0,29.23,10,0
-8,67,0,29.02,10,8
-5,64,0,30.07,6,5
-4,73,0,29.21,8,13
0,51,0,28.48,10,8
-8,66,0,29.43,10,3
-1,43,0,30.37,10,0
-5,31,0,27.1,10,0
-3,60,0,27.65,10,20
-4,56,0,29.17,9,0
-3,62,0.05,29.14,9,11
-3,74,0,29,9,11
0,45,0.33,29.07,2,16
0,49,0,24.68,10,5
